title,price,code,detail
整租·景芳水湘苑 1室1厅 南,3800,HZ2332383646432108544,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a41\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a10\u4e2a\u6708\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u4e2d\u697c\u5c42/6\u5c42"", ""\u7535\u68af\uff1a\u65e0"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·复地壹中心 1室1厅 南,3200,HZ2298569342998290432,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a53\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a10\u4e2a\u6708\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u9ad8\u697c\u5c42/23\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u5546\u6c34"", ""\u7528\u7535\uff1a\u5546\u7535"", ""\u71c3\u6c14\uff1a\u65e0"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
合租·翠苑五区 4居室 东卧,1790,HZ2349905749247279104,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a14\u33a1"", ""\u671d\u5411\uff1a\u4e1c"", ""\u7ef4\u62a4\uff1a1\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a6/7\u5c42"", ""\u7535\u68af\uff1a\u65e0"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u6682\u65e0\u6570\u636e"", ""\u79df\u671f\uff1a1\u5e74"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
合租·雍荣华庭 4居室 南卧,1450,HZ2323711811536289792,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a14\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a27\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a21/30\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u6682\u65e0\u6570\u636e"", ""\u79df\u671f\uff1a2~12\u4e2a\u6708"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·美好桂花星城 2室1厅 南,2900,HZ2298568908871319552,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a85\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a6\u4e2a\u6708\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u4f4e\u697c\u5c42/27\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·克拉公馆 1室1厅 南,2660,HZ2298573207588323328,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a42\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a2\u4e2a\u6708\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u4e2d\u697c\u5c42/15\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u5546\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u65e0"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·福鼎家园 1室0厅 北,1690,HZ2353350935486939136,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a28\u33a1"", ""\u671d\u5411\uff1a\u5317"", ""\u7ef4\u62a4\uff1a1\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a5/15\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u514d\u8d39\u4f7f\u7528"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u6682\u65e0\u6570\u636e"", ""\u79df\u671f\uff1a1\u5e74"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·之江富城 1室1厅 南,2300,HZ2322287039779192832,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a44\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a6\u4e2a\u6708\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u9ad8\u697c\u5c42/6\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u7535\uff1a\u5546\u7535"", ""\u71c3\u6c14\uff1a\u65e0"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
合租·塘河北村 4居室 西卧,1000,HZ2387586913793490944,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a10\u33a1"", ""\u671d\u5411\uff1a\u897f"", ""\u7ef4\u62a4\uff1a4\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a1/7\u5c42"", ""\u7535\u68af\uff1a\u65e0"", ""\u8f66\u4f4d\uff1a\u79df\u7528\u8f66\u4f4d"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u6682\u65e0\u6570\u636e"", ""\u79df\u671f\uff1a6\u4e2a\u6708"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·之江富城 2室1厅 南,2600,HZ2322270625831862272,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a44\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a6\u4e2a\u6708\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u9ad8\u697c\u5c42/6\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u7535\uff1a\u5546\u7535"", ""\u71c3\u6c14\uff1a\u65e0"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·三里亭苑四区 2室1厅 南,3000,HZ2352015362263875584,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a48\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a12\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u4e2d\u697c\u5c42/7\u5c42"", ""\u7535\u68af\uff1a\u65e0"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·贝利云栖中心 2室1厅 南,2950,HZ2298572371604275200,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a47\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a10\u4e2a\u6708\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u4e2d\u697c\u5c42/10\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u65e0"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·东方时代中心 1室1厅 东南/南,3300,HZ2346427074744418304,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a38\u33a1"", ""\u671d\u5411\uff1a\u4e1c\u5357 \u5357"", ""\u7ef4\u62a4\uff1a3\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u9ad8\u697c\u5c42/18\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u65e0"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·丁桥大唐苑 2室1厅 南,4500,HZ2546240842856153088,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a66\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a17\u5929\u524d"", ""\u5165\u4f4f\uff1a2020-09-30"", ""\u697c\u5c42\uff1a\u4e2d\u697c\u5c42/6\u5c42"", ""\u7535\u68af\uff1a\u65e0"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
合租·凤亭院 3居室 南卧,1800,HZ2354155355992768512,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a20\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a\u4eca\u5929"", ""\u5165\u4f4f\uff1a2020-10-02"", ""\u697c\u5c42\uff1a2/5\u5c42"", ""\u7535\u68af\uff1a\u65e0"", ""\u8f66\u4f4d\uff1a\u514d\u8d39\u4f7f\u7528"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u6682\u65e0\u6570\u636e"", ""\u79df\u671f\uff1a1\u5e74"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·濮家新村 2室1厅 南,3260,HZ2361353381643296768,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a50\u33a1"", ""\u671d\u5411\uff1a\u5357"", ""\u7ef4\u62a4\uff1a12\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a\u9ad8\u697c\u5c42/7\u5c42"", ""\u7535\u68af\uff1a\u65e0"", ""\u8f66\u4f4d\uff1a\u6682\u65e0\u6570\u636e"", ""\u7528\u6c34\uff1a\u6c11\u6c34"", ""\u7528\u7535\uff1a\u6c11\u7535"", ""\u71c3\u6c14\uff1a\u6709"", ""\u91c7\u6696\uff1a\u81ea\u91c7\u6696"", ""\u79df\u671f\uff1a\u6682\u65e0\u6570\u636e"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
整租·新天地G193广场 1室1厅 东南,2700,HZ2126647976607612928,"[""\u57fa\u672c\u4fe1\u606f"", ""\u9762\u79ef\uff1a35\u33a1"", ""\u671d\u5411\uff1a\u4e1c\u5357"", ""\u7ef4\u62a4\uff1a6\u5929\u524d"", ""\u5165\u4f4f\uff1a\u968f\u65f6\u5165\u4f4f"", ""\u697c\u5c42\uff1a10/20\u5c42"", ""\u7535\u68af\uff1a\u6709"", ""\u8f66\u4f4d\uff1a\u79df\u7528\u8f66\u4f4d"", ""\u7528\u6c34\uff1a\u5546\u6c34"", ""\u7528\u7535\uff1a\u5546\u7535"", ""\u71c3\u6c14\uff1a\u65e0"", ""\u91c7\u6696\uff1a\u6682\u65e0\u6570\u636e"", ""\u79df\u671f\uff1a1\u5e74"", ""\u770b\u623f\uff1a\u968f\u65f6\u53ef\u770b""]"
